#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
541345	853650	853718	33937	33997	YKL185W	YKL139W	ASH1	CTK1	DNA-binding transcription repressor ASH1|L000003058	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.539513	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2144611	853650	852224	33937	32643	YKL185W	YBL056W	ASH1	PTC3	DNA-binding transcription repressor ASH1|L000003058	type 2C protein phosphatase PTC3|L000003426	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1937	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: ash1 - ptc3 [SGA score = -0.1937, P-value = 0.0002149]	-	BIOGRID
393612	853635	855964	33922	36043	YKL198C	YPL139C	PTK1	UME1	KKT8|POT1|STK1|YKL199C|YKT9|putative serine/threonine protein kinase PTK1|L000003491	WTM3|L000003500	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1645	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
911234	853635	855964	33922	36043	YKL198C	YPL139C	PTK1	UME1	KKT8|POT1|STK1|YKL199C|YKT9|putative serine/threonine protein kinase PTK1|L000003491	WTM3|L000003500	Negative Genetic	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.1645	-	colony size|vegetative growth	score threshold <= -0.12, interaction detected by Synthetic Genetic Array (SGA)	-	BIOGRID
1257136	850641	853523	31233	33817	YLL019C	YJR060W	KNS1	CBF1	serine/threonine protein kinase KNS1|L124|L000000910	CEP1|CPF1|CP1|L000000311|L000000401	Synthetic Growth Defect	genetic	Sanchez-Casalongue ME (2015)	25631054	559292	559292	High Throughput	-	-	resistance to chemicals|vegetative growth	SGA for rapamycin sensitivity using kns1 mck1 double mutant as bait|Table S1|hit shows rapamycin sensitivity in combination with kns1 only	-	BIOGRID
1257173	850641	853334	31233	33646	YLL019C	YJL110C	KNS1	GZF3	serine/threonine protein kinase KNS1|L124|L000000910	DEH1|NIL2|L000002858|L000003382	Synthetic Growth Defect	genetic	Sanchez-Casalongue ME (2015)	25631054	559292	559292	High Throughput	-	-	resistance to chemicals|vegetative growth	SGA for rapamycin sensitivity using kns1 mck1 double mutant as bait|Table S1|hit shows rapamycin sensitivity in combination with either kns1 or mck1	-	BIOGRID
2148151	850641	856583	31233	36611	YLL019C	YHR178W	KNS1	STB5	serine/threonine protein kinase KNS1|L124|L000000910	L000003368	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1283	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: kns1 - stb5 [SGA score = -0.1283, P-value = 0.04844]	-	BIOGRID
2148152	850641	854706	31233	34891	YLL019C	YIL101C	KNS1	XBP1	serine/threonine protein kinase KNS1|L124|L000000910	L000004246	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1344	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: kns1 - xbp1 [SGA score = -0.1344, P-value = 0.01238]	-	BIOGRID
2357037	850706	855522	31293	35635	YLR019W	YNL199C	PSR2	GCR2	-	L000000691	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-4.58	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
520925	850785	855704	31369	35799	YLR096W	YNL027W	KIN2	CRZ1	serine/threonine protein kinase KIN2|L000000902	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Reconstituted Complex	physical	Fasolo J (2011)	21460040	559292	559292	High Throughput	-	-	-	High Throughput: Proteome microarrays were used to identify proteins that interact with protein kinases.	-	BIOGRID
140781	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Reconstituted Complex	physical	Proft M (2002)	12086627	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
151358	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Biochemical Activity	physical	Proft M (2001)	11230135	559292	559292	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
161012	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Synthetic Rescue	genetic	Pascual-Ahuir A (2001)	11113177	559292	559292	Low Throughput	-	-	metabolism and growth:partial rescue	-	-	BIOGRID
238200	850803	855005	31384	35163	YLR113W	YML007W	HOG1	YAP1	SSK3|mitogen-activated protein kinase HOG1|L000000797	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	Phenotypic Enhancement	genetic	Thorsen M (2006)	16885417	559292	559292	Low Throughput	-	-	resistance to chemicals	double mutants show increased sensitivity to metalloids	-	BIOGRID
253005	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Synthetic Rescue	genetic	Proft M (1999)	9858577	559292	559292	Low Throughput	-	-	hyperosmotic stress resistance:partial rescue|ionic stress resistance:partial rescue	-	-	BIOGRID
427789	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Synthetic Rescue	genetic	Kobayashi Y (2008)	18201562	559292	559292	Low Throughput	-	-	osmotic stress resistance:partial rescue	-	-	BIOGRID
485944	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	PCA	physical	Hruby A (2011)	21118957	559292	559292	High Throughput	-	-	-	split-ubiquitin assay	-	BIOGRID
715599	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Co-localization	physical	Cook KE (2012)	22973550	559292	559292	Low Throughput	-	-	-	ChIP	-	BIOGRID
890882	850803	856484	31384	36519	YLR113W	YHR084W	HOG1	STE12	SSK3|mitogen-activated protein kinase HOG1|L000000797	homeodomain family transcription factor STE12|L000002119	Phenotypic Suppression	genetic	O'Rourke SM (1998)	9744864	559292	559292	Low Throughput	-	-	osmotic stress resistance:partial rescue|shmoo formation:partial rescue	deletion of the hit gene completely abolishes the cross-talk seen in a hog1 mutant in response to 1M sorbitol as measured by activation of a FUS1:lacZ reporter and shmoo formation	-	BIOGRID
912517	850803	853390	31384	33698	YLR113W	YJL056C	HOG1	ZAP1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ZRG10|L000003321	Dosage Growth Defect	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-	-	osmotic stress resistance|vegetative growth	0.2 M NaCl	-	BIOGRID
912587	850803	851542	31384	32035	YLR113W	YDL020C	HOG1	RPN4	SSK3|mitogen-activated protein kinase HOG1|L000000797	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	Dosage Growth Defect	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-	-	osmotic stress resistance|vegetative growth	0.2 M NaCl	-	BIOGRID
2355626	850803	854042	31384	34293	YLR113W	YOL108C	HOG1	INO4	SSK3|mitogen-activated protein kinase HOG1|L000000797	L000000869	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	2.68	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2380335	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Co-localization	physical	Romanov N (2017)	28270554	559292	559292	Low Throughput	-	-	-	proximity ligase experiment assayed by Western blot	-	BIOGRID
2392099	850803	852809	31384	33177	YLR113W	YGL071W	HOG1	AFT1	SSK3|mitogen-activated protein kinase HOG1|L000000797	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	Biochemical Activity	physical	Martins TS (2018)	29032057	559292	559292	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
2392100	850803	852809	31384	33177	YLR113W	YGL071W	HOG1	AFT1	SSK3|mitogen-activated protein kinase HOG1|L000000797	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	Phenotypic Suppression	genetic	Martins TS (2018)	29032057	559292	559292	Low Throughput	-	-	utilization of iron source:wild type	hog1 mutant cells exhibited iron accumulation that was suppressed by AFT1 deletion	-	BIOGRID
2394267	850803	855554	31384	35661	YLR113W	YNL167C	HOG1	SKO1	SSK3|mitogen-activated protein kinase HOG1|L000000797	ACR1|L000001909	Synthetic Rescue	genetic	Yamaguchi Y (2018)	29215176	559292	559292	Low Throughput	-	-	vegetative growth:partial rescue	genetic complex|the deletion of SKO1 alleviated the growth defect of tet-AUR1/hog1 mutant cells	-	BIOGRID
543069	850824	854706	31402	34891	YLR133W	YIL101C	CKI1	XBP1	bifunctional choline kinase/ethanolamine kinase CKI1|L000000346	L000004246	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-3.232785	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
587799	850824	854042	31402	34293	YLR133W	YOL108C	CKI1	INO4	bifunctional choline kinase/ethanolamine kinase CKI1|L000000346	L000000869	Negative Genetic	genetic	Hoppins S (2011)	21987634	559292	559292	High Throughput	-9.21602962	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).  The authors constructed a mitochondrial-focused genetic interaction map (the MITO-MAP).	-	BIOGRID
542933	850928	853718	31498	33997	YLR228C	YKL139W	ECM22	CTK1	L000004375	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.712473	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
1911871	850958	850568	31522	31166	YLR256W	YFR014C	HAP1	CMK1	CYP1|L000002665	calmodulin-dependent protein kinase CMK1|L000000366	Positive Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	0.2149	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hap1 - cmk1 [SGA score = 0.2149, P-value = 3.71E-7]	-	BIOGRID
543539	850964	856366	31528	36403	YLR260W	YHL020C	LCB5	OPI1	sphinganine kinase LCB5|L000004329	transcriptional regulator OPI1|L000001303	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-4.610931	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
160306	851076	856484	31623	36519	YLR362W	YHR084W	STE11	STE12	mitogen-activated protein kinase kinase kinase STE11|L000002118	homeodomain family transcription factor STE12|L000002119	Synthetic Rescue	genetic	Dolan JW (1990)	2193847	559292	559292	Low Throughput	-	-	mating response:wild type	-	-	BIOGRID
160508	851076	856484	31623	36519	YLR362W	YHR084W	STE11	STE12	mitogen-activated protein kinase kinase kinase STE11|L000002118	homeodomain family transcription factor STE12|L000002119	Dosage Rescue	genetic	Schrick K (1997)	9286665	559292	559292	Low Throughput	-	-	mating efficiency:partial rescue	-	-	BIOGRID
520672	851076	856484	31623	36519	YLR362W	YHR084W	STE11	STE12	mitogen-activated protein kinase kinase kinase STE11|L000002118	homeodomain family transcription factor STE12|L000002119	Phenotypic Suppression	genetic	Cherkasova V (1999)	10049917	559292	559292	Low Throughput	-	-	pheromone sensitivity:partial rescue	deletion of Ste12 blocks the pheromone sensitivity seen in a Far1/Ste11 double mutant|genetic complex	-	BIOGRID
616525	851076	856484	31623	36519	YLR362W	YHR084W	STE11	STE12	mitogen-activated protein kinase kinase kinase STE11|L000002118	homeodomain family transcription factor STE12|L000002119	Phenotypic Suppression	genetic	Wang X (2011)	22114773	559292	559292	Low Throughput	-	-	RNA accumulation:partial rescue	overexpression of Ste12 suppresses defects in expression of transcription targets in fus3, kss1, ste11 and far1 mutants	-	BIOGRID
616538	851076	855704	31623	35799	YLR362W	YNL027W	STE11	CRZ1	mitogen-activated protein kinase kinase kinase STE11|L000002118	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Phenotypic Suppression	genetic	Wang X (2011)	22114773	559292	559292	Low Throughput	-	-	RNA accumulation:partial rescue	deletion of Cnb1 or Crz1 blocks the activation of target genes by a hyperactive Ste11 allele	-	BIOGRID
346430	851119	853529	31660	33823	YLR403W	YJR066W	SFP1	TOR1	zinc-coordinating transcription factor SFP1|[ISP+]|[ISP(+)]|L000001872	DRR1|phosphatidylinositol kinase-related protein kinase TOR1|L000002322	Affinity Capture-Western	physical	Lempiaeinen H (2009)	19328065	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
346436	851119	854776	31660	34955	YLR403W	YIL035C	SFP1	CKA1	zinc-coordinating transcription factor SFP1|[ISP+]|[ISP(+)]|L000001872	casein kinase 2 catalytic subunit CKA1|L000000343	Affinity Capture-Western	physical	Lempiaeinen H (2009)	19328065	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
346440	851119	854227	31660	34460	YLR403W	YOR061W	SFP1	CKA2	zinc-coordinating transcription factor SFP1|[ISP+]|[ISP(+)]|L000001872	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	Affinity Capture-Western	physical	Lempiaeinen H (2009)	19328065	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
349120	851119	853529	31660	33823	YLR403W	YJR066W	SFP1	TOR1	zinc-coordinating transcription factor SFP1|[ISP+]|[ISP(+)]|L000001872	DRR1|phosphatidylinositol kinase-related protein kinase TOR1|L000002322	Phenotypic Suppression	genetic	Hosiner D (2009)	19073887	559292	559292	Low Throughput	-	-	metal resistance:partial rescue	sfp1 single mutants are resistant to arsenic, while tor1 single mutants are sensitive.  An sfp1 tor1 double mutant shows an intermediate phenotype; cells are more resistant than wildtype but not as resistant as the sfp1 single mutant.	-	BIOGRID
542548	851153	852809	31692	33177	YLR433C	YGL071W	CNA1	AFT1	CMP1|calcineurin catalytic subunit A|L000000370	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	Positive Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	2.313532	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2202821	851153	850429	31692	31041	YLR433C	YCR065W	CNA1	HCM1	CMP1|calcineurin catalytic subunit A|L000000370	L000000757	Two-hybrid	physical	Arsenault HE (2015)	26269584	559292	559292	Low Throughput	-	-	-	Figure 2	-	BIOGRID
2387684	851153	855704	31692	35799	YLR433C	YNL027W	CNA1	CRZ1	CMP1|calcineurin catalytic subunit A|L000000370	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Biochemical Activity	physical	Goldman A (2014)	24930733	559292	559292	Low Throughput	-	Dephosphorylation	-	-	-	BIOGRID
403624	855005	852695	35163	33074	YML007W	YGL180W	YAP1	ATG1	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1951	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
542108	855005	850964	35163	31528	YML007W	YLR260W	YAP1	LCB5	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	sphinganine kinase LCB5|L000004329	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-3.554255	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).|An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
543213	855005	853275	35163	33595	YML007W	YJL164C	YAP1	TPK1	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	PKA1|SRA3|cAMP-dependent protein kinase catalytic subunit TPK1|L000002045	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.835746	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
543240	855005	853718	35163	33997	YML007W	YKL139W	YAP1	CTK1	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-4.215513	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
543505	855005	852265	35163	32682	YML007W	YBL016W	YAP1	FUS3	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.911901	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
1519424	855005	852719	35163	33096	YML007W	YGL158W	YAP1	RCK1	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	putative serine/threonine protein kinase RCK1|L000001592	Synthetic Rescue	genetic	Mazzola D (2015)	26296316	559292	559292	Low Throughput	-	-	metal resistance:partial rescue|vegetative growth:partial rescue	Figure 2|RCK1 deletion rescues CdCl2 sensitivity of yap1 mutant	-	BIOGRID
1519426	855005	852719	35163	33096	YML007W	YGL158W	YAP1	RCK1	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	putative serine/threonine protein kinase RCK1|L000001592	Phenotypic Suppression	genetic	Mazzola D (2015)	26296316	559292	559292	Low Throughput	-	-	RNA accumulation:partial rescue	Figure 6|RCK1 deletion restores GPX2, TRX2 expression of yap1 mutant in response to Cd|trans-phenotypic suppressing genetic interaction	-	BIOGRID
2157244	855005	852088	35163	32529	YML007W	YDR477W	YAP1	SNF1	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1536	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: yap1 - snf1-supp1 [SGA score = -0.1536, P-value = 0.03343]	-	BIOGRID
1912581	854992	856583	35153	36611	YML016C	YHR178W	PPZ1	STB5	L000001478	L000003368	Positive Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	0.1962	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: ppz1 - stb5 [SGA score = 0.1962, P-value = 0.009537]	-	BIOGRID
403218	854932	855704	35096	35799	YML070W	YNL027W	DAK1	CRZ1	L000004203	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1309	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
2158682	854932	855704	35096	35799	YML070W	YNL027W	DAK1	CRZ1	L000004203	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1211	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: dak1 - crz1 [SGA score = -0.1211, P-value = 0.03252]	-	BIOGRID
541438	855130	853334	35279	33646	YMR104C	YJL110C	YPK2	GZF3	YKR2|putative protein kinase YPK2|L000002542	DEH1|NIL2|L000002858|L000003382	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-3.408654	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
103149	855170	855522	35316	35635	YMR139W	YNL199C	RIM11	GCR2	GSK3|MDS1|serine/threonine protein kinase RIM11|L000001056	L000000691	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
440413	855170	855522	35316	35635	YMR139W	YNL199C	RIM11	GCR2	GSK3|MDS1|serine/threonine protein kinase RIM11|L000001056	L000000691	Affinity Capture-MS	physical	Breitkreutz A (2010)	20489023	559292	559292	High Throughput	1.0	-	-	-	-	BIOGRID
2356072	855170	855522	35316	35635	YMR139W	YNL199C	RIM11	GCR2	GSK3|MDS1|serine/threonine protein kinase RIM11|L000001056	L000000691	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-5.41	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2358944	855170	853523	35316	33817	YMR139W	YJR060W	RIM11	CBF1	GSK3|MDS1|serine/threonine protein kinase RIM11|L000001056	CEP1|CPF1|CP1|L000000311|L000000401	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-2.71	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
200391	855256	855704	35394	35799	YMR216C	YNL027W	SKY1	CRZ1	serine/threonine protein kinase SKY1|L000003941	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
200399	855256	855964	35394	36043	YMR216C	YPL139C	SKY1	UME1	serine/threonine protein kinase SKY1|L000003941	WTM3|L000003500	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
460471	855256	851542	35394	32035	YMR216C	YDL020C	SKY1	RPN4	serine/threonine protein kinase SKY1|L000003941	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	Phenotypic Suppression	genetic	Jonikas MC (2009)	19325107	559292	559292	High Throughput	-	-	protein/peptide accumulation	-	-	BIOGRID
1913598	855256	854042	35394	34293	YMR216C	YOL108C	SKY1	INO4	serine/threonine protein kinase SKY1|L000003941	L000000869	Positive Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	0.1923	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: sky1 - ino4 [SGA score = 0.1923, P-value = 0.01069]	-	BIOGRID
908579	855711	851542	35806	32035	YNL020C	YDL020C	ARK1	RPN4	serine/threonine protein kinase ARK1|L000004430	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	Dosage Growth Defect	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.244	-	colony size|vegetative growth	score threshold  >=0.2=<	-	BIOGRID
